CODIGO TRX	DESCRIPCION TRANSACCION	TIPO CONTABILIDAD	FECHA CONTABLE	VALOR DB 1	VALOR DB 2	VALOR DB 3	ID TERCERO DB1	ID TERCERO DB2	ID TERCERO DB3	NOMBRE TERCERO DB1	NOMBRE TERCERO DB2	NOMBRE TERCERO DB3	CC DB 1	CC DB 2	CC DB 3	VALOR CR 1	VALOR CR 2	VALOR CR 3	ID TERCERO CR 1	ID TERCERO CR 2	ID TERCERO CR 3	NOMBRE TERCERO CR1	NOMBRE TERCERO CR2	NOMBRE TERCERO CR3	CC CR 1	CC CR 2	CC CR 3	COMENTARIO	TIPO DE DOCUMENTO	NUMERO DE DOCUMENTO	DOCUMENTO BASE	NUMERO DOCUMENTO BASE	CUENTA	CAMPO_NUMERICO_1	CAMPO_ALFANUMERICO_2	CAMPO_ALFANUMERICO_3	CAMPO_ALFANUMERICO_4	CAMPO_ALFANUMERICO_5	CAMPO_ALFANUMERICO_6	CAMPO_ALFANUMERICO_7	CAMPO_ALFANUMERICO_8	CAMPO_ALFANUMERICO_9	CAMPO_ALFANUMERICO_10	CAMPO_ALFANUMERICO_11	CAMPO_ALFANUMERICO_12	CAMPO_ALFANUMERICO_13	CAMPO_ALFANUMERICO_14	CAMPO_ALFANUMERICO_15
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	55604	11420	64507531AA	19845	2025-03-02	2025-04-20	2025-04-28	6768	86	144	30	Caja CCC	AC	FE	55	3930
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	23856	52638	85247524AA	29480	2025-02-21	2025-03-29	2025-05-05	3150	26	202	88	Caja AAA	BC	HE	92	5459
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	59644	15271	81533799CC	81770	2025-03-16	2025-04-21	2025-05-15	1377	36	153	19	Caja CCC	CC	HE	67	5753
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	20151	40990	73712642BB	41196	2025-03-18	2025-04-18	2025-04-29	6671	91	508	99	Caja BBB	BC	FE	31	9975
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	25334	79891	32682938AA	15612	2025-03-16	2025-04-14	2025-04-22	1656	95	791	89	Caja AAA	BC	GE	94	4271
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	20236	44944	59887234AA	15144	2025-03-01	2025-04-19	2025-05-18	6130	94	240	32	Caja BBB	BC	FE	32	8398
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	69346	15678	45817570CC	61057	2025-03-14	2025-04-09	2025-05-13	5523	92	413	25	Caja BBB	AC	HE	81	6917
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	45507	89697	96774024CC	70631	2025-03-20	2025-04-21	2025-05-19	7297	75	438	62	Caja BBB	CC	FE	73	5752
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	95544	13349	80326529CC	71680	2025-02-27	2025-04-09	2025-04-26	6876	26	443	73	Caja BBB	AC	GE	57	2319
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	95539	46812	29599195BB	60949	2025-03-10	2025-03-29	2025-04-27	6725	63	910	27	Caja CCC	AC	FE	71	4621
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	84753	66147	10160407CC	85056	2025-03-11	2025-04-11	2025-05-02	6815	32	658	34	Caja CCC	CC	HE	18	8217
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	51600	47031	87144123BB	62365	2025-03-17	2025-04-08	2025-05-08	9749	46	126	34	Caja AAA	BC	GE	68	5968
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	83632	97739	89160934CC	92711	2025-03-05	2025-04-12	2025-05-15	7937	52	443	28	Caja BBB	CC	GE	25	8520
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	30889	83052	98861112CC	48507	2025-03-07	2025-03-29	2025-05-07	6045	43	896	70	Caja CCC	AC	GE	34	7296
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	63367	24706	34031902CC	19454	2025-03-08	2025-04-05	2025-05-06	5600	18	187	40	Caja CCC	CC	GE	13	5895
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	57026	17440	63095913AA	44903	2025-02-28	2025-04-15	2025-05-02	2659	83	214	70	Caja CCC	CC	FE	65	1487
AF265	DEP EQ ELECTRICOS	7115	2025-02-19	1000000.02	N/A	N/A	70	71	N/A	abc	N/A	N/A	123	N/A	N/A	1000000.02	N/A	N/A	80	81	N/A	abc	N/A	N/A	123	N/A	N/A	prueba	T90	123	as	123	51777	60791	97415560BB	32180	2025-02-23	2025-04-20	2025-05-01	5065	85	933	92	Caja AAA	AC	FE	23	4862
